file_name,wave,columns,labels
sharew5_rel9-0-0_as.dta,5,mergeid,Person identifier (fix across modules and waves)
sharew5_rel9-0-0_as.dta,5,hhid5,Household identifier (wave 5)
sharew5_rel9-0-0_as.dta,5,mergeidp5,Partner identifier (wave 5)
sharew5_rel9-0-0_as.dta,5,coupleid5,Couple identifier (wave 5)
sharew5_rel9-0-0_as.dta,5,country,Country identifier
sharew5_rel9-0-0_as.dta,5,language,Language of questionnaire
sharew5_rel9-0-0_as.dta,5,exrate,Exchange rate 1 euro
sharew5_rel9-0-0_as.dta,5,as003e,Amount bank account
sharew5_rel9-0-0_as.dta,5,as003ub,Amount bank account ub
sharew5_rel9-0-0_as.dta,5,as003v1,Bracket value 1
sharew5_rel9-0-0_as.dta,5,as003v2,Bracket value 2
sharew5_rel9-0-0_as.dta,5,as003v3,Bracket value 3
sharew5_rel9-0-0_as.dta,5,as007e,Amount in bonds
sharew5_rel9-0-0_as.dta,5,as007ub,Amount in bonds ub
sharew5_rel9-0-0_as.dta,5,as007v1,Bracket value 1
sharew5_rel9-0-0_as.dta,5,as007v2,Bracket value 2
sharew5_rel9-0-0_as.dta,5,as007v3,Bracket value 3
sharew5_rel9-0-0_as.dta,5,as011e,Amount in stocks
sharew5_rel9-0-0_as.dta,5,as011ub,Amount in stocks ub
sharew5_rel9-0-0_as.dta,5,as011v1,Bracket value 1
sharew5_rel9-0-0_as.dta,5,as011v2,Bracket value 2
sharew5_rel9-0-0_as.dta,5,as011v3,Bracket value 3
sharew5_rel9-0-0_as.dta,5,as017e,Amount in mutual funds
sharew5_rel9-0-0_as.dta,5,as017ub,Amount in mutual funds ub
sharew5_rel9-0-0_as.dta,5,as017v1,Bracket value 1
sharew5_rel9-0-0_as.dta,5,as017v2,Bracket value 2
sharew5_rel9-0-0_as.dta,5,as017v3,Bracket value 3
sharew5_rel9-0-0_as.dta,5,as019_,Mutual funds mostly stocks or bonds
sharew5_rel9-0-0_as.dta,5,as020_,Who has individual retirement accounts
sharew5_rel9-0-0_as.dta,5,as021e,Amount individual retirement accounts
sharew5_rel9-0-0_as.dta,5,as021ub,Amount individual retirement accounts ub
sharew5_rel9-0-0_as.dta,5,as021v1,Bracket value 1
sharew5_rel9-0-0_as.dta,5,as021v2,Bracket value 2
sharew5_rel9-0-0_as.dta,5,as021v3,Bracket value 3
sharew5_rel9-0-0_as.dta,5,as023_,Individual retirement accounts mostly in stocks or bonds
sharew5_rel9-0-0_as.dta,5,as024e,Partner amount individual retirement accounts
sharew5_rel9-0-0_as.dta,5,as024ub,Partner amount individual retirement accounts ub
sharew5_rel9-0-0_as.dta,5,as024v1,Bracket value 1
sharew5_rel9-0-0_as.dta,5,as024v2,Bracket value 2
sharew5_rel9-0-0_as.dta,5,as024v3,Bracket value 3
sharew5_rel9-0-0_as.dta,5,as026_,Partner individual retirement accounts mostly in stocks or bonds
sharew5_rel9-0-0_as.dta,5,as027e,Amount contractual saving for housing
